Sigla,Nome,Ano/Semestre,AU,TR,AU+TR,EXT,FREQ,NOTA,student_id
SCC0228,Seminários em Computação II,2023/1,1,0,1,0,100.0,10.0,2
SCC0240,Bases de Dados,2023/1,4,2,6,0,97.0,6.4,2
SSC0120,Sistemas de Informação,2023/1,2,1,3,0,87.0,8.2,2
SSC0900,Engenharia de Segurança,2023/1,2,1,3,0,100.0,7.4,2
SSC0904,Sistemas Computacionais Distribuídos,2023/1,2,1,3,0,100.0,6.2,2
SSC0959,Teste e Inspeção de Software,2023/1,2,1,3,0,95.0,7.6,2
7600105,Física Básica I,2023/2,4,0,4,0,100.0,5.8,2
SCC0250,Computação Gráfica,2023/2,4,1,5,0,56.0,1.3,2
SCC0291,Estágio Supervisionado I,2023/2,4,10,14,0,100.0,9.0,2
SMA0356,Cálculo IV,2023/2,4,0,4,0,100.0,5.9,2
SSC0725,Arquitetura de Software,2023/2,2,2,4,0,80.0,10.0,2
SSC0726,Reuso de Software,2023/2,2,1,3,0,93.0,9.7,2
SSC0951,Desenvolvimento de Código Otimizado,2023/2,2,2,4,0,93.0,8.4,2
7600109,Laboratório de Física Geral I,2024/1,2,0,2,0,83.0,6.4,2
SCC0250,Computação Gráfica,2024/1,4,1,5,0,85.0,7.7,2
SCC0292,Estágio Supervisionado II,2024/1,4,10,14,0,0.0,0.0,2
SMA0355,Cálculo III,2024/1,4,0,4,0,91.0,3.0,2
SME0104,Cálculo Numérico,2024/1,4,0,4,0,70.0,5.1,2
SSC0712,Programação de Robôs Móveis,2024/1,2,3,5,0,0.0,0.0,2
SCC0229,Seminários em Computação III,2024/2,1,0,1,0,88.0,9.2,2
SCC0230,Inteligência Artificial,2024/2,4,1,5,0,80.0,7.4,2
SCC0292,Estágio Supervisionado II,2024/2,4,10,14,0,100.0,10.0,2
SME0110,Programação Matemática,2024/2,4,2,6,0,87.0,8.5,2
SME0142,Álgebra Linear e Aplicações,2024/2,4,1,5,0,79.0,7.8,2
SSC0953,Sistemas Open Source,2024/2,2,2,4,0,100.0,5.0,2
SCC0243,Arquitetura de Sistemas Gerenciadores de Bases de Dados,2025/1,4,2,6,0,90.0,8.9,2
SCC0251,Processamento de Imagens,2025/1,4,1,5,0,84.0,3.6,2
SCC0261,Multimídia,2025/1,2,0,2,0,73.0,0.0,2
